Product Name,serving_size,calories,sat_fat,sodium,carbohydrates ,sugar,fiber,protein,whole_grain,ca_Fe_K_at_20_percent,gluten_free,organic,tag,upc,food_type
Simple truth multigrain rice with rosemary & Olive ,30,130,0.5,110,22,1,1,3,20,no,yes,no,WG/ SatFat,1111080472,CRACKERS NATURAL
Way Better Rosemary & Olive Oil,28,110,0,200,15,0,4,3,21,no,n,no,WG/ SatFat,85335800096,CRACKERS NATURAL
Way Better Salt & Cracked Pepper,28,110,0,110,15,0,4,3,21,no,n,no,WG/ SatFat,85335800096,CRACKERS NATURAL
Triscuit Smoked Gouda,28g,120,0.5,160,20,<1,3,3,23g,0%,8%,3500mg,N,N,CRACKERS NATURAL
Van's GF Multigrain Crackers,30,140,0.5,180,21,3,2,2,16,no,yes,no,no,o8994780310,CRACKERS NATURAL
CROUTONS/SALAD TOPPINGS,,,,,,,,,,,,,,,CROUTONS/SALAD TOPPINGS
Ians whole grain bread crumbs,,80,0,60,17,2,1,1,17,no,yes,yes,,,CROUTONS/SALAD TOPPINGS
Kroger Original Tortilla Strips,7,35,0,15,4,0,0,0,0,,yes,no,less salt,o1111090922,CROUTONS/SALAD TOPPINGS
Kroger Santa Fe Tortilla Strips,7,35,0,25,4,0,0,0,0,,yes,no,less salt,o1111090923,CROUTONS/SALAD TOPPINGS
Mrs. Cubison Tri color Tortilla Strips,7,35,0,15,4,0,0,0,0,,yes,no,less salt,o7471408665,CROUTONS/SALAD TOPPINGS
NY Texas Toast Garlic & Butter Flavor,7,35,0,60,4,0,1,0,0,,no,no,less salt,o7020001063,CROUTONS/SALAD TOPPINGS
Kroger BBQ cirspy red peppers,7,40,0,30,3,0,0,0,0,,no,no,less salt,1111086822,CROUTONS/SALAD TOPPINGS
Kroger lightly salted crispy jalapenos,7,40,0,15,3,0,0,0,0,,no,no,less salt,1111086820,CROUTONS/SALAD TOPPINGS
Kroger Mesquite bacon crispy onions,7,40,0,35,3,0,0,0,0,,no,no,less salt,1111086828,CROUTONS/SALAD TOPPINGS
Kroger Sea Salt & Lime Crispy pablanos,7,40,0,25,3,0,0,0,0,,no,no,less salt,1111086829,CROUTONS/SALAD TOPPINGS
Kroger Dried Cranberry & Pecans,10,45,0,15,7,5,1,0,0,,no,no,less salt,o1111090928,CROUTONS/SALAD TOPPINGS
Kroger Dried Cranberries & Almonds,10,45,0,0,6,4,1,1,0,,yes,no,less salt,o1111090929,CROUTONS/SALAD TOPPINGS
Kroger Sliced Almonds,8,45,0,0,2,0,1,2,0,,no,no,less salt,o1111002128,CROUTONS/SALAD TOPPINGS
Kroger Pine Nuts,9,60,0,0,1,0,0,1,0,,no,no,less salt,o1111002129,CROUTONS/SALAD TOPPINGS
Eat Well Embrace Life Edamamde Red Pepper,28,60,0,125,3,0,1,2,,,yes,no,less salt less saturated fat,89686300140,DIPS
Eat Well Embrace Life White Bean,28,60,0,95,5,0,2,2,,,yes,no,less salt less saturated fat,89696300143,DIPS
