Product Name	serving_size	calories	sat_fat	sodium	carbohydrates 	sugar	fiber	protein	whole_grain	ca_Fe_K_at_20_percent	gluten_free	organic	tag	upc	food_type
Quorn turkey burger	c/o													C/O	
REDS Bean & Cheese Burrito	142	270	3	440	39	2	5	10			no	yes		C/O	
REDS Chicken n Cheese Burrito	142	290	2	500	39	2	2	17		20% Iron	no	no	less salt, less saturated fat	o1111083974	
REDS Chipotle Beef n Bean Burrito	142	270	1	490	39	2	3	13		iron	no	no		o1111083925	
Saffron Road Chicken Nugget	85	170	0.5	370	17	0	1	17			yes	no		o1111083949	
Saffron Road Chicken Tender	85	160	0.5	360	17	0	1	17			yes	no		o1111080484	
Simple Truth Breakfast Patties71	57	100	0	360	4	1	2	10			no	no		o1111080490	
Simple Truth Crispy Patties	100	180	0.5	350	14	1	3	15			no	no		o1111080491	
Simple Truth Patties	100	150	0	380	9	1	3	18			no	no		85443000237	
Simple Truth Quinoa, White and Barley with Olive Oil	120	170	1	330	28	0	3	4		iron	yes	yes		85443000240	
Simple Truth Quinoa, White Olive Oil and Sea Salt	120	170	1	330	26	0	2	5		iron	yes	yes		82624691003	
Simple Truth Quinoa, Red and Brown Rice with Garlic/Olive	118	230	1	330	40	0	2	5	no		yes	yes			
Tres Pupusa Black Bean & Corn	71	130	0.5	170	22	1	4	4	no	n/a	yes	yes			
Tres Pupusa Pinto Bean and cheese	71	140	1	200	21	1	4	5	no	n/a	yes	yes			
Vitalicious Egg and Cheese whole Wheat FLATBREAD	90	120	0	325	19	2	7	10`	8g	20% Iron	no	no			
															
